iter	Logloss
0	0.6703249757
1	0.6511117488
2	0.6326895869
3	0.6152381619
4	0.5955635062
5	0.5772733956
6	0.561391414
7	0.5452088162
8	0.528317229
9	0.515079385
10	0.5010577445
11	0.4879989258
12	0.4776324139
13	0.4678704477
14	0.4581724037
15	0.4509687828
16	0.4435816042
17	0.4349415959
18	0.4262328129
19	0.4212765403
20	0.4129704512
21	0.4078914247
22	0.4033686893
23	0.3972418014
24	0.3914055964
25	0.384057316
26	0.379214361
27	0.3742023701
28	0.367917077
29	0.3643199538
30	0.3584485295
31	0.3547475348
32	0.3516482484
33	0.3473933416
34	0.3419826145
35	0.3382053138
36	0.3357374305
37	0.3334508913
38	0.330151676
39	0.3276898306
40	0.3244945618
41	0.3215942916
42	0.3180140414
43	0.3134480331
44	0.3097646977
45	0.3083911708
46	0.304516757
47	0.3024067143
48	0.3001934067
49	0.2985984098
50	0.2960021341
51	0.2939867096
52	0.2920949045
53	0.2900109521
54	0.2883938819
55	0.2873327334
56	0.2852944739
57	0.283294963
58	0.2813916095
59	0.2802442503
60	0.2790638468
61	0.2774693909
62	0.2751231191
63	0.273779527
64	0.2715470136
65	0.2703799337
66	0.2695125799
67	0.2679234043
68	0.2664862961
69	0.2655445227
70	0.2640456053
71	0.2629858929
72	0.2619509928
73	0.2604378906
74	0.2590496106
75	0.2580089106
76	0.2564005961
77	0.2556449683
78	0.2547004454
79	0.2533577648
80	0.2519099722
81	0.2506976551
82	0.2494034739
83	0.2479014275
84	0.2468492834
85	0.2459509311
86	0.2451409343
87	0.2441046089
88	0.2421938093
89	0.2414974316
90	0.2403660643
91	0.2395177906
92	0.2386602626
93	0.237878713
94	0.2371226569
95	0.2364841785
96	0.2353509937
97	0.2345450573
98	0.2335484945
99	0.232874233
100	0.2318387123
101	0.2307626368
102	0.2299005228
103	0.2293480061
104	0.2284665483
105	0.2277730287
106	0.2271001795
107	0.2257174177
108	0.2250168273
109	0.2239792909
110	0.2234934357
111	0.2227038252
112	0.2213007083
113	0.2205451043
114	0.2198342305
115	0.2191248839
116	0.2185162171
117	0.2177620879
118	0.2170342299
119	0.2164561714
120	0.2154640413
121	0.2149365818
122	0.2144008256
123	0.2137000684
124	0.2126551702
125	0.21216023
126	0.2118944102
127	0.2112524728
128	0.2105549245
129	0.2095607527
130	0.2086230272
131	0.2080846214
132	0.2074970371
133	0.2070291333
134	0.2065539171
135	0.2058525509
136	0.2051165354
137	0.2045391449
138	0.2039660167
139	0.2031613601
140	0.2026900576
141	0.2021125887
142	0.2014442398
143	0.201164462
144	0.2007300983
145	0.2003273973
146	0.1995089288
147	0.1992304731
148	0.1986678956
149	0.1978750913
150	0.1974149775
151	0.1971283445
152	0.1963758296
153	0.1959465633
154	0.1951420997
155	0.1945868639
156	0.1939410459
157	0.1933185313
158	0.1926993008
159	0.1923673927
160	0.1919223415
161	0.1911599292
162	0.1906492508
163	0.1900523309
164	0.1896399188
165	0.1890448676
166	0.1884295764
167	0.188041638
168	0.1870990016
169	0.1866348542
170	0.1862445301
171	0.1855959067
172	0.1852074071
173	0.1849539712
174	0.1844718344
175	0.1840671547
176	0.1834497078
177	0.1829378544
178	0.1823215431
179	0.1817761752
180	0.181148147
181	0.1808522982
182	0.1804589781
183	0.1797962563
184	0.1793490831
185	0.1784823258
186	0.1778883748
187	0.1774579181
188	0.1770693384
189	0.176696853
190	0.1760008678
