iter	Passed	Remaining
271	618	518
272	621	516
273	623	514
274	625	511
275	627	509
276	629	506
277	631	504
278	633	502
279	635	499
280	638	497
281	641	495
282	643	493
283	645	490
284	648	488
285	650	486
286	652	484
287	655	482
288	657	480
289	659	477
290	661	475
291	663	472
292	665	470
293	667	467
294	671	466
295	673	464
296	675	461
297	677	459
298	679	457
299	682	454
300	684	452
301	687	450
302	690	448
303	692	446
304	694	444
305	696	441
306	698	439
307	701	437
308	703	434
309	706	432
310	708	430
311	710	427
312	712	425
313	714	423
314	716	420
315	719	418
316	721	416
317	723	414
318	725	411
319	727	409
320	730	407
321	732	404
322	735	403
323	737	400
324	739	398
325	742	396
326	744	393
327	746	391
328	748	388
329	750	386
330	753	384
331	755	382
332	758	380
333	760	377
334	762	375
335	764	373
336	767	371
337	769	368
338	771	366
339	773	364
340	776	361
341	778	359
342	780	357
343	783	355
344	785	352
345	787	350
346	789	348
347	791	345
348	793	343
349	795	341
350	798	338
351	800	336
352	802	334
353	805	332
354	807	329
355	809	327
356	811	325
357	814	322
358	817	321
359	820	318
360	822	316
361	824	314
362	826	311
363	828	309
364	830	307
365	833	305
366	835	302
367	837	300
368	839	297
369	841	295
370	843	293
371	845	290
372	848	288
373	850	286
374	852	284
375	854	281
376	856	279
377	858	277
378	861	274
379	863	272
380	866	270
381	868	268
382	870	265
383	872	263
384	874	261
385	876	258
386	878	256
387	881	254
388	883	252
389	885	249
390	887	247
391	889	245
392	891	242
393	893	240
394	896	238
395	898	236
396	901	233
397	903	231
398	905	229
399	907	226
400	909	224
401	911	222
402	914	220
403	916	217
404	918	215
405	920	213
406	923	210
407	925	208
408	927	206
409	930	204
410	932	201
411	934	199
412	936	197
413	938	194
414	940	192
415	942	190
416	945	188
417	947	185
418	949	183
419	951	181
420	953	179
421	956	176
422	958	174
423	960	172
424	963	169
425	965	167
426	967	165
427	969	163
428	971	160
429	973	158
430	975	156
431	978	154
432	980	151
433	983	149
434	985	147
435	987	144
436	989	142
437	991	140
438	993	138
439	996	135
440	998	133
441	1000	131
442	1002	129
443	1004	126
444	1006	124
445	1009	122
446	1012	119
447	1014	117
448	1016	115
449	1018	113
450	1020	110
451	1022	108
452	1024	106
453	1027	104
454	1029	101
455	1031	99
456	1033	97
457	1035	94
458	1037	92
459	1039	90
460	1042	88
461	1044	85
462	1047	83
463	1049	81
464	1051	79
465	1053	76
466	1055	74
467	1057	72
468	1060	70
469	1063	67
470	1065	65
471	1067	63
472	1069	61
473	1071	58
474	1074	56
475	1076	54
476	1078	52
477	1080	49
478	1082	47
479	1085	45
480	1087	42
481	1089	40
482	1091	38
483	1094	36
484	1096	33
485	1098	31
486	1100	29
487	1102	27
488	1104	24
489	1107	22
490	1109	20
491	1111	18
492	1113	15
493	1115	13
494	1117	11
495	1120	9
496	1122	6
497	1124	4
498	1127	2
499	1129	0
