iter	Logloss
0	0.6447365883
1	0.5958114933
2	0.5534989487
3	0.5272156485
4	0.4995267656
5	0.4751456625
6	0.4576628407
7	0.4441450259
8	0.4245607361
9	0.4042129671
10	0.3917676267
11	0.3745095777
12	0.3634442794
13	0.3507420282
14	0.3437093694
15	0.3331490191
16	0.3254618338
17	0.3195632053
18	0.3129428808
19	0.3070264473
20	0.2999654507
21	0.2962035147
22	0.2914961515
23	0.2860641988
24	0.2825066842
25	0.276835645
26	0.2734079361
27	0.268304134
28	0.2635347711
29	0.2611167268
30	0.2579394857
31	0.2531212408
32	0.2498542024
33	0.2473374872
34	0.2451631011
35	0.241798993
36	0.2390125002
37	0.2364490634
38	0.2342419993
39	0.2317086942
40	0.2297823839
41	0.2267866664
42	0.2245597716
43	0.2232605181
44	0.2217547021
45	0.2192660545
46	0.2166364706
47	0.2152610197
48	0.2131703929
49	0.2117102182
50	0.2105344625
51	0.2084162117
52	0.2071548062
53	0.2058459075
54	0.204925558
55	0.2040712205
56	0.2027297209
57	0.2013120816
58	0.1992423851
59	0.1979669554
60	0.1967219661
61	0.1961416308
62	0.1947242038
63	0.1938185343
64	0.1927699608
65	0.1916685893
66	0.1907301453
67	0.1894599433
68	0.1878144447
69	0.1861245587
70	0.1853114065
71	0.1845052374
72	0.1833147244
73	0.1820038002
74	0.180757885
75	0.1799643512
76	0.178863867
77	0.1777351029
78	0.1758465827
79	0.1746439167
80	0.1737913926
81	0.1725910029
82	0.1713621791
83	0.1703407087
84	0.1693095932
85	0.1683592469
86	0.167951195
87	0.1668681688
88	0.1656874747
89	0.1647797218
90	0.1636046992
91	0.162450028
92	0.1615877139
93	0.1610689925
94	0.1601412547
95	0.1588622659
96	0.1582273771
97	0.1569916858
98	0.1561925963
99	0.1554609078
100	0.1550256949
101	0.154122649
102	0.1533501707
103	0.1520356681
104	0.1511740099
105	0.1508308031
106	0.1503007099
107	0.1498307934
108	0.1489280657
109	0.1486018442
110	0.1479585447
111	0.1472775613
112	0.1468072397
113	0.1462532746
114	0.1455655395
115	0.1446933004
116	0.1434905959
117	0.143079689
118	0.1426306835
119	0.1420494222
120	0.1417148672
121	0.1410578136
122	0.1402251394
123	0.1395238431
124	0.1386179324
125	0.1379835259
126	0.1377280233
127	0.1367507475
128	0.1360620382
129	0.1351999267
130	0.1347494454
131	0.1342134783
132	0.1337527537
133	0.1331465306
134	0.1322833677
135	0.1314987751
136	0.1309075985
137	0.1301601497
138	0.1297869365
139	0.1287846313
140	0.1282789984
141	0.1274533845
142	0.1264435464
143	0.1258064199
144	0.1256628407
145	0.1251935126
146	0.1245099828
147	0.1241806651
148	0.1233474315
149	0.1228992843
150	0.1221388916
151	0.1216595806
152	0.1210029514
153	0.1199703987
154	0.1191199387
155	0.1183858196
156	0.1179429194
157	0.117174116
158	0.1167620324
159	0.1162844384
160	0.1158636162
161	0.1152312159
162	0.1146890661
163	0.1139957947
164	0.1134044059
165	0.113049239
166	0.1126994734
167	0.1120002894
168	0.1116445437
169	0.111357993
170	0.1110465865
171	0.1100677868
172	0.1095657131
173	0.1087752657
174	0.1083566041
175	0.1078341017
176	0.1072955497
177	0.1065052567
178	0.1055940701
179	0.1051637281
180	0.1047002546
181	0.1042139316
182	0.1032070063
183	0.1027176643
184	0.1020462007
185	0.1017187446
186	0.1009637917
187	0.100353479
188	0.09970495187
189	0.09929564614
190	0.09877432049
191	0.09813647061
192	0.09754407878
193	0.09693345744
194	0.09643602307
195	0.09599960454
196	0.09572373117
197	0.09522905534
198	0.09478083103
199	0.09435945909
200	0.09395225602
201	0.0935133876
202	0.09322164779
203	0.09255776539
204	0.09219593356
205	0.0917349293
206	0.09137764039
207	0.09056769999
208	0.09009323097
209	0.08980827176
210	0.08955030961
211	0.08905339609
212	0.08858286232
213	0.08821464534
214	0.0879403345
215	0.08696554717
216	0.0866722159
217	0.08613014333
218	0.08568304751
219	0.08518467756
220	0.0846312236
221	0.08400424391
222	0.08376942071
223	0.08326494531
224	0.08292261618
225	0.08249321939
226	0.08206254943
227	0.08175639962
228	0.08113184089
229	0.08063896391
230	0.08023574915
231	0.07957780339
232	0.07935358514
233	0.07903464573
234	0.07884481761
235	0.07850407029
236	0.07817074982
237	0.07756464727
238	0.07705786666
239	0.07659834777
240	0.07630103301
241	0.07606282914
242	0.07566956346
243	0.07547131021
244	0.07519537414
245	0.07487985879
246	0.07449035475
247	0.07417558209
248	0.07386823145
249	0.07365318583
250	0.07340177762
251	0.0729681321
252	0.07221356508
253	0.07190375007
254	0.07166564749
255	0.07140213932
256	0.07106005131
257	0.07068044812
258	0.07036373194
259	0.07008817686
260	0.06977733945
261	0.06970067903
262	0.06935357549
263	0.06891994444
264	0.06867686973
265	0.06846343004
266	0.06832717163
267	0.06801427497
268	0.06780089315
269	0.06754461892
270	0.06732063697
271	0.06696839252
272	0.0667241218
273	0.06653584656
274	0.06611026447
275	0.06582356913
276	0.06557097456
277	0.06542374949
278	0.06497601227
279	0.06465351376
280	0.06434618241
281	0.06418070854
282	0.06379398715
283	0.06335623758
284	0.06287953086
285	0.06268697313
286	0.06221797295
287	0.06192797893
288	0.06169600108
289	0.06141586933
290	0.06111805301
291	0.06090423233
292	0.06071025676
293	0.06057546442
294	0.06039121125
295	0.06025325527
296	0.05982935145
297	0.05961527036
298	0.05935950732
299	0.05922765678
300	0.05902994849
301	0.05872491753
302	0.05853413935
303	0.05829309497
304	0.05797677424
305	0.05759299948
306	0.05749717394
307	0.05724348464
308	0.05686214047
309	0.05647375528
310	0.05626038311
311	0.05600011092
312	0.05563207238
313	0.05547500434
314	0.055079255
315	0.05481056733
316	0.05462149154
317	0.05441550763
318	0.05411435888
319	0.05392507089
320	0.05369075407
321	0.0535515442
322	0.0534233878
323	0.05317965721
324	0.05301120296
325	0.05293365999
326	0.05261947568
327	0.05242783426
328	0.05229666853
329	0.05204946083
330	0.05184573391
331	0.05149574645
332	0.05136004745
333	0.05116196782
334	0.05100152395
335	0.05066186655
336	0.05048280252
337	0.05027128224
338	0.05001043134
339	0.04971222921
340	0.04948237813
341	0.04933827331
342	0.04915805668
343	0.04896101391
344	0.04869414919
345	0.04858094292
346	0.04838792704
347	0.04814292328
348	0.04799416463
349	0.0477880071
350	0.04766242115
351	0.04750051602
352	0.04732703177
353	0.04708082718
354	0.04690864986
355	0.04677195741
356	0.04658748722
357	0.04649094311
358	0.04630536372
359	0.04622598816
360	0.04595789849
361	0.04581196107
362	0.04561239607
363	0.04550926426
364	0.04515015722
365	0.04493853084
366	0.04479846255
367	0.0445799591
368	0.04439864774
369	0.04418359247
370	0.0439253506
371	0.04377336561
372	0.04359832366
373	0.04339082062
374	0.04316505913
375	0.04306925288
376	0.04286005228
377	0.04269031521
378	0.04248885974
379	0.04230086421
380	0.04192425587
381	0.04177453269
382	0.04147397712
383	0.04125935589
384	0.04113157083
385	0.041017564
386	0.04091432126
387	0.04073404194
388	0.04053157372
389	0.0404469005
390	0.04034557476
391	0.04017259689
392	0.03997130057
393	0.03984241594
394	0.03973542121
395	0.03966188825
396	0.03954711462
397	0.03934614624
398	0.03919019464
399	0.0390692577
400	0.03894827736
401	0.0388450708
402	0.03871812969
403	0.0385398614
404	0.03846150823
405	0.0382223953
406	0.03814611586
407	0.03798375258
408	0.03780755802
409	0.03756757702
410	0.03746194226
411	0.03729505054
412	0.03712974064
413	0.03700685536
414	0.03675761975
415	0.03667147563
416	0.0364703698
417	0.03640742009
418	0.036278521
419	0.03616765852
420	0.03604659137
421	0.03596448861
422	0.03585216246
423	0.03564393121
424	0.03556685604
425	0.0354647852
426	0.03528990962
427	0.03509807047
428	0.03496607284
429	0.03488816576
430	0.03467467061
431	0.03450332761
432	0.03440379106
433	0.03418044812
434	0.03405550117
435	0.03398472434
436	0.03388660323
437	0.03368200583
438	0.03355295
439	0.03344431316
440	0.03334571462
441	0.03316518451
442	0.03300209302
443	0.03289000801
444	0.03279926793
445	0.03275395937
446	0.03265804462
447	0.03255072195
448	0.03231929387
449	0.03212935965
450	0.0319493311
451	0.03188657189
452	0.03182507137
453	0.03174039816
454	0.03163423291
455	0.03156250362
456	0.03142521075
457	0.03134813557
458	0.03120817821
459	0.03110448697
460	0.0309450896
461	0.03084717587
462	0.03075439823
463	0.03067457416
464	0.03056140647
465	0.03037056319
466	0.03031871516
467	0.03023939987
468	0.03019357771
469	0.03012304201
470	0.03005275951
471	0.02997291132
472	0.02993205887
473	0.02990012105
474	0.02978176662
475	0.02970686645
476	0.02965087338
477	0.02957910068
478	0.02946773182
479	0.02926176479
480	0.02906494869
481	0.02896702772
482	0.0288582655
483	0.02876300662
484	0.02870609965
485	0.02856345367
486	0.02848476774
487	0.02831803517
488	0.02822464023
489	0.02818313914
490	0.02808953684
491	0.02797596645
492	0.02785713459
493	0.02769143647
494	0.02762395108
495	0.02754689519
496	0.02746454407
497	0.02737102616
498	0.02727315342
499	0.02719240581
